"Timestamp","Event","Content","Touchpoint","Location","PunctuationInSentece","NumberOfWords","NumberOfCharacters","SelectedButtonIndex","FullSentece","TimeSpan","IdentificationTags","LocationTags"
"2020/01/02 13:20:21.593","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","",""
"2020/01/02 13:20:21.811","word-prediction[1]-updated","the","","380,195","","0","0","0","","","",""
"2020/01/02 13:20:21.832","word-prediction[2]-updated","to","","380,130","","0","0","0","","","",""
"2020/01/02 13:20:21.832","word-prediction[3]-updated","and","","70,410","","0","0","0","","","",""
"2020/01/02 13:20:21.832","word-prediction[4]-updated","a","","70,345","","0","0","0","","","",""
"2020/01/02 13:20:36.127","Letter-button-selected","h","587,542","520,475","","0","0","0","","","",""
"2020/01/02 13:20:36.135","output-updated","h","","","","0","0","0","","","",""
"2020/01/02 13:20:36.163","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6"
"2020/01/02 13:20:36.333","sentence-prediction[1]-updated","have used before","","70,410","N","3","0","0","because it learns what i have used before","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:20:36.339","word-prediction[1]-updated","he","","200,195","","0","0","0","","","",""
"2020/01/02 13:20:36.339","word-prediction[2]-updated","his","","650,195","","0","0","0","","","",""
"2020/01/02 13:20:36.351","word-prediction[3]-updated","has","","70,345","","0","0","0","","","",""
"2020/01/02 13:20:36.351","word-prediction[4]-updated","her","","200,130","","0","0","0","","","",""
"2020/01/02 13:20:42.549","Letter-button-selected","l","793.5,521","790,475","","0","0","0","","","",""
"2020/01/02 13:20:42.555","output-updated","hl","","","","0","0","0","","","",""
"2020/01/02 13:20:42.580","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:20:42.598","word-prediction[1]-updated","hl","","790,410","","0","0","0","","","",""
"2020/01/02 13:20:42.603","word-prediction[2]-updated","hlp","","830,195","","0","0","0","","","",""
"2020/01/02 13:20:44.753","Clear-button-selected","Clear","1037,504.5","960,475","","0","0","0","","","",""
"2020/01/02 13:20:44.764","words-per-minute-value_word_count","9.35","","","","1","0","0","hl","0.10697","",""
"2020/01/02 13:20:44.764","words-per-minute-value_character_count","1.87","","","","0","2","0","hl","0.10697","",""
"2020/01/02 13:20:44.773","output-updated","","","","","0","0","0","","","",""
"2020/01/02 13:20:44.802","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:20:44.812","sentence-prediction[1]-updated","hello alex","","520,410","N","2","0","0","hello alex","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:20:44.812","sentence-prediction[2]-updated","exactly","","200,195","N","1","0","0","exactly","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
