Timestamp,Event,Content,Touchpoint,Location,PunctuationInSentece,NumberOfWords,NumberOfCharacters,SelectedButtonIndex,FullSentece,TimeSpan,IdentificationTags,LocationTags
14:41.2,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,
14:41.5,word-prediction[1]-updated,the,,"380,195",,0,0,0,,,,
14:41.5,word-prediction[2]-updated,to,,"380,130",,0,0,0,,,,
14:41.5,word-prediction[3]-updated,and,,"70,410",,0,0,0,,,,
14:41.5,word-prediction[4]-updated,a,,"70,345",,0,0,0,,,,
26:57.0,Letter-button-selected,t,"416,305","380,260",,0,0,0,,,,
26:57.1,output-updated,t,,,,0,0,0,,,,
26:57.1,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
26:57.2,sentence-prediction[1]-updated,the bigger the database of sentences the more sentences or part of the sentence i will be able to select,,"520,410",N,20,0,0,because the bigger the database of sentences the more sentences or part of the sentence i will be able to select,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
26:57.2,word-prediction[1]-updated,to,,"740,195",,0,0,0,,,,
26:57.3,word-prediction[2]-updated,that,,"520,345",,0,0,0,,,,
26:57.3,word-prediction[3]-updated,time,,"650,195",,0,0,0,,,,
26:57.3,word-prediction[4]-updated,two,,"110,195",,0,0,0,,,,
26:58.4,Letter-button-selected,h,"541.5,496","520,475",,0,0,0,,,,
26:58.4,output-updated,th,,,,0,0,0,,,,
26:58.5,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
26:58.5,sentence-prediction[1]-updated,the bigger the database of sentences the more sentences or part of the sentence i will be able to select,,"200,195",N,20,0,0,because the bigger the database of sentences the more sentences or part of the sentence i will be able to select,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
26:58.5,word-prediction[1]-updated,that,,"70,410",,0,0,0,,,,
26:58.5,word-prediction[2]-updated,this,,"650,130",,0,0,0,,,,
26:58.5,word-prediction[3]-updated,they,,"200,130",,0,0,0,,,,
26:58.6,word-prediction[4]-updated,than,,"70,345",,0,0,0,,,,
27:00.7,word-prediction[2]-selected,this,"678.5,155.5","650,130",,0,0,0,,,,
27:00.7,output-updated,this ,,,,0,0,0,,,,
27:00.8,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
