File Count,File Name,Timestamp,Event,Utterance,selected,missed,selected / missed,WP or SP?,Word Count,Character Count,Total Character Count,Time (mins),Time (secs),Words per minute,Characters per Second,Derived Time (sec),Derived Time (mins),Predicted Words Used,No. of Predicted Words Used,Predicted Sentences Used,No. of Words Used in Predicted Sentences,No. of Predicted Sentences Used,Actual Keys pressed,Actual Keystrokes,Actual Keystroke Savings,Keys pressed if user used predictions the first time they appeared,Min. keys user has to press if system could predict all current words and next words/phrases in the lexicon (at each moment) ASAP and user uses all those predictions the first time they appear,Keystrokes,Keystrokes Saved,Words in the lexicon (WP),Theoretical min character (WP),Words in the lexicon (SP),Theoretical min character (Word SP),Phrases in the lexicon (SP),Theoretical min character (Phrase SP),Keystrokes involved in selecting predictions,Total min. char (including TTS button),Keystrokes saved (lexicon)
2,27112019-101440_-_1.1.csv,00:14:41.200000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
2,27112019-101440_-_1.1.csv,00:14:41.500000,word-prediction[1]-updated,the,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
2,27112019-101440_-_1.1.csv,00:14:41.500000,word-prediction[2]-updated,to,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
2,27112019-101440_-_1.1.csv,00:14:41.500000,word-prediction[3]-updated,and,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
2,27112019-101440_-_1.1.csv,00:14:41.500000,word-prediction[4]-updated,a,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
2,27112019-101440_-_1.1.csv,00:26:57,Letter-button-selected,t,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
2,27112019-101440_-_1.1.csv,00:26:57.100000,output-updated,t,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
2,27112019-101440_-_1.1.csv,00:26:57.100000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
2,27112019-101440_-_1.1.csv,00:26:57.200000,sentence-prediction[1]-updated,the bigger the database of sentences the more sentences or part of the sentence i will be able to select,0,0,-,-,20,104,104,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,103
2,27112019-101440_-_1.1.csv,00:26:57.200000,word-prediction[1]-updated,to,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
2,27112019-101440_-_1.1.csv,00:26:57.300000,word-prediction[2]-updated,that,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
2,27112019-101440_-_1.1.csv,00:26:57.300000,word-prediction[3]-updated,time,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
2,27112019-101440_-_1.1.csv,00:26:57.300000,word-prediction[4]-updated,two,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
2,27112019-101440_-_1.1.csv,00:26:58.400000,Letter-button-selected,h,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
2,27112019-101440_-_1.1.csv,00:26:58.400000,output-updated,th,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
2,27112019-101440_-_1.1.csv,00:26:58.500000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
2,27112019-101440_-_1.1.csv,00:26:58.500000,sentence-prediction[1]-updated,the bigger the database of sentences the more sentences or part of the sentence i will be able to select,0,0,-,-,20,104,104,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,103
2,27112019-101440_-_1.1.csv,00:26:58.500000,word-prediction[1]-updated,that,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
2,27112019-101440_-_1.1.csv,00:26:58.500000,word-prediction[2]-updated,this,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
2,27112019-101440_-_1.1.csv,00:26:58.500000,word-prediction[3]-updated,they,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
2,27112019-101440_-_1.1.csv,00:26:58.600000,word-prediction[4]-updated,than,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
