File Count,File Name,Timestamp,Event,Utterance,selected,missed,selected / missed,WP or SP?,Word Count,Character Count,Total Character Count,Time (mins),Time (secs),Words per minute,Characters per Second,Derived Time (sec),Derived Time (mins),Predicted Words Used,No. of Predicted Words Used,Predicted Sentences Used,No. of Words Used in Predicted Sentences,No. of Predicted Sentences Used,Actual Keys pressed,Actual Keystrokes,Actual Keystroke Savings,Keys pressed if user used predictions the first time they appeared,Min. keys user has to press if system could predict all current words and next words/phrases in the lexicon (at each moment) ASAP and user uses all those predictions the first time they appear,Keystrokes,Keystrokes Saved,Words in the lexicon (WP),Theoretical min character (WP),Words in the lexicon (SP),Theoretical min character (Word SP),Phrases in the lexicon (SP),Theoretical min character (Phrase SP),Keystrokes involved in selecting predictions,Total min. char (including TTS button),Keystrokes saved (lexicon)
1,02012020-132021.csv,13:21:25.046000,TTS-button-selected,hello how are you? ,0,0,-,-,4,19,20,1.0,3.21,4.0,5.92,3.20945945945946,1.0,,0.0,,0.0,0.0,,,,,h_h_a_y_>,9.0,11.0,,0,,0,,0,0,1,19
1,02012020-132021.csv,13:22:05.231000,TTS-button-selected,this is our new prediction system which predicts both words and sentences ,0,0,-,-,12,74,75,1.0,43.4,12.0,1.71,43.27485380116959,1.0,,0.0,,0.0,0.0,,,,,t_i_o_n_p_s_w_p_b_w_a_s_>,25.0,50.0,,0,,0,,0,0,1,74
1,02012020-132021.csv,13:22:28.920000,TTS-button-selected,so instead of predicting single words it also predicts sentences or part of the sentence if it fits ,0,0,-,-,18,100,101,2.0,7.09,9.0,14.1,7.092198581560284,2.0,,0.0,,0.0,0.0,,,,,s_i_o_p_s_w_i_a_p_s_o_p_o_t_s_i_i_f_>,37.0,64.0,,0,,0,,0,0,1,100
1,02012020-132021.csv,13:22:45.967000,TTS-button-selected,and i don't have to remember what is stored or where it is stored ,0,0,-,-,14,66,67,2.0,24.13,7.0,2.74,24.08759124087591,2.0,"want, it",2.0,,0.0,0.0,i_don't_>,9.0,58.0,i_don't_>,a_i_d_h_t_r_w_i_s_o_w_i_i_s_>,29.0,38.0,"want, it",2,,0,,0,2,5,62
1,02012020-132021.csv,13:23:16.591000,TTS-button-selected,or exactly what i have typed before ,0,0,-,-,7,36,37,2.0,54.76,3.5,0.66,54.54545454545454,2.0,,0.0,,0.0,0.0,,,,,o_e_w_i_h_t_b_>,15.0,22.0,,0,,0,,0,0,1,36
1,02012020-132021.csv,13:23:37.056000,TTS-button-selected,do you want to try ,0,0,-,-,5,19,20,3.0,15.22,1.67,1.25,15.2,2.9940119760479043,,0.0,,0.0,0.0,,,,,d_y_w_t_t_>,11.0,9.0,,0,,0,,0,0,1,19
1,02012020-132021.csv,13:24:02.547000,TTS-button-selected,hello my name is jo,0,0,-,-,5,19,20,3.0,40.72,1.67,0.47,40.42553191489362,2.9940119760479043,,0.0,,0.0,0.0,,,,,h_m_n_i_j_>,11.0,9.0,,0,,0,,0,0,1,19
1,02012020-132021.csv,13:24:29.122000,TTS-button-selected,this looks great ,0,0,-,-,3,17,18,4.0,7.29,0.75,2.33,7.296137339055794,4.0,"filter, it",2.0,,0.0,0.0,looks_great_>,13.0,5.0,looks_great_>,t_l_g_>,7.0,11.0,"filter, it",2,,0,,0,2,5,13
1,02012020-132021.csv,13:26:28.468000,TTS-button-selected,how many words can i use in one document? ,0,0,-,-,9,42,43,6.0,6.64,1.5,6.33,6.6350710900473935,6.0,,0.0,,0.0,0.0,,,,,h_m_w_c_i_u_i_o_d_>,19.0,24.0,,0,,0,,0,0,1,42
1,02012020-132021.csv,13:28:08.312000,TTS-button-selected,how many words can i use in one document? ,0,0,-,-,9,42,43,7.0,46.48,1.29,0.9,46.66666666666666,6.976744186046512,,0.0,,0.0,0.0,,,,,h_m_w_c_i_u_i_o_d_>,19.0,24.0,,0,,0,,0,0,1,42
